Brand,Product Name,Product URL,Image URL,Description,Price,Category
Sensai,Flawless Satin Moisture Foundation,https://www.notino.co.uk/sensai/flawless-satin-moisture-foundation-liquid-foundation-spf-25/,https://cdn.notinoimg.com/list_2k/sensai/4973167840818_01-o.jpg,liquid foundation SPF 25,39.30,foundation
Estée Lauder,Double Wear Stay-in-Place Matte Powder Foundation and Refill,https://www.notino.co.uk/estee-lauder/double-wear-stay-in-place-matte-powder-foundation-and-refill-powder-foundation-spf-10/,https://cdn.notinoimg.com/list_2k/estee-lauder/887167574588_01-o.jpg,powder foundation SPF 10,23.50,foundation
DIOR,Dior Forever Natural Velvet,https://www.notino.co.uk/dior/dior-forever-natural-velvet-compact-foundation-long-wear-no-transfer-90-natural-origin-ingredients/,https://cdn.notinoimg.com/list_2k/dior/3348901607612_01.jpg,Compact foundation - long wear - no transfer - 90% natural-origin Ingredients,51.40,foundation
GUERLAIN,Parure Gold Skin Matte Foundation,https://www.notino.co.uk/guerlain/parure-gold-skin-matte-foundation-long-lasting-mattifying-foundation-spf-15/,https://cdn.notinoimg.com/list_2k/guerlain/3346470436145_01.jpg,long-lasting mattifying foundation SPF 15,55.80,foundation
Paese,Mineral Line Illuminating,https://www.notino.co.uk/paese/illuminating-mineral-powder-foundationilluminating/,https://cdn.notinoimg.com/list_2k/paese/5902627621314_01-o.jpg,mineral powder foundation (illuminating),14.70,foundation
Lancôme,Teint Idole Ultra Wear 24h,https://www.notino.co.uk/lancome/teint-idole-ultra-wear-long-lasting-foundation-spf-35/,https://cdn.notinoimg.com/list_2k/lancome/3614273792493_01-o.jpg,long-lasting foundation SPF 35,38.20,foundation
Catrice,Nude Drop Tinted Serum Foundation,https://www.notino.co.uk/catrice/nude-drop-tinted-serum-foundation-serum-foundation/,https://cdn.notinoimg.com/list_2k/catrice/4059729399786_01-o.jpg,nourishing foundation,8.00,foundation
NARS,SOFT MATTE Complete Foundation,https://www.notino.co.uk/nars/soft-matte-complete-foundation-mattifying-foundation/,https://cdn.notinoimg.com/list_2k/nars/194251004150_01.jpg,mattifying foundation,34.80,foundation
NARS,LIGHT REFLECTING FOUNDATION,https://www.notino.co.uk/nars/light-reflecting-foundation-brightening-foundation-for-natural-look/,https://cdn.notinoimg.com/list_2k/nars/194251070766_01.jpg,brightening foundation for a natural look,43.30,foundation
GUERLAIN,Terracotta Le Teint,https://www.notino.co.uk/guerlain/terracotta-le-teint-liquid-foundation-for-natural-look/,https://cdn.notinoimg.com/list_2k/guerlain/3346470438460_01.jpg,liquid foundation for a natural look,36.20,foundation
Maybelline,Maybelline,https://www.notino.co.uk/maybelline/maybelline-setfor-flawless-skin/,https://cdn.notinoimg.com/list_2k/maybelline/8592807533239_01-o.jpg,set (for flawless skin),10.60,foundation
Annabelle Minerals,Coverage Mineral Foundation,https://www.notino.co.uk/annabelle-minerals/coverage-mineral-foundation-loose-mineral-powder-foundation/,https://cdn.notinoimg.com/list_2k/annabelle_minerals/5902596579630_01-o.jpg,mineral powder foundation for the perfect look,15.90,foundation
Vichy,Liftactiv Flexiteint,https://www.notino.co.uk/vichy/liftactiv-flexiteint-rejuvenating-foundation-with-lifting-effect/,https://cdn.notinoimg.com/list_2k/vichy/3337871321543_01__22.jpg,rejuvenating foundation with a lifting effect,34.39,foundation
